-182.723, 66.722, 2.858,  6.550
-182.718, 66.627, 2.868,  6.583
-182.714, 66.531, 2.877,  6.616
-182.709, 66.435, 2.887,  6.649
-182.704, 66.339, 2.896,  6.682
-182.700, 66.242, 2.906,  6.715
-182.695, 66.145, 2.915,  6.748
-182.690, 66.048, 2.925,  6.781
-182.686, 65.950, 2.935,  6.814
-182.681, 65.852, 2.944,  6.847
-182.677, 65.754, 2.954,  6.880
-182.672, 65.655, 2.964,  6.913
-182.668, 65.556, 2.974,  6.946
-182.663, 65.457, 2.983,  6.979
-182.659, 65.358, 2.993,  7.012
-182.655, 65.258, 3.003,  7.045
-182.650, 65.157, 3.013,  7.078
-182.646, 65.057, 3.023,  7.111
-182.641, 64.956, 3.033,  7.144
-182.637, 64.855, 3.043,  7.177
-182.633, 64.753, 3.053,  7.210
-182.628, 64.651, 3.063,  7.243
-182.624, 64.549, 3.073,  7.276
-182.620, 64.446, 3.083,  7.309
-182.616, 64.343, 3.094,  7.342
-182.612, 64.240, 3.104,  7.375
-182.607, 64.136, 3.114,  7.408
-182.603, 64.032, 3.125,  7.441
-182.599, 63.928, 3.135,  7.474
-182.595, 63.823, 3.145,  7.507
-182.591, 63.718, 3.156,  7.540
-182.587, 63.613, 3.166,  7.573
